date,ndvi,et
2020-01-12T13:10:59,0.9057153787731087,7.591406513925239
2020-01-28T13:10:11,0.9026936849375365,6.610032641185937
2020-02-13T13:09:22,0.7463983781376701,5.435762084015225
2020-02-29T13:08:32,0.5934023188161175,4.12907605841042
2020-04-01T13:06:46,0.25619795045289345,1.5502792827166572
2020-04-17T13:05:50,0.22779479069043462,0.9445459625599695
2020-05-03T13:04:53,0.33481154618524583,1.5919129222571158
2020-05-19T13:03:54,0.6672770809168231,3.110960346702388
2020-06-04T13:02:57,,
2020-06-20T13:02:01,0.8569869556532307,3.090175290324605
2020-07-06T13:01:04,,
2020-07-22T13:00:05,0.7186242033463487,2.8417930670081497
2020-08-07T12:59:05,0.3007156822251286,1.2427226326113965
2020-08-23T12:58:04,0.21192298109478871,0.879084586350607
2020-09-24T12:55:57,0.27205607452465647,1.768384451672959
2020-10-10T12:54:57,0.6329271217841668,4.056126226557083
2020-11-11T12:52:49,,
2020-11-27T12:51:41,,
2020-12-29T12:49:20,0.847562767464065,5.797558326679874
2020-01-04T13:30:52,,
2020-02-05T13:30:44,,
2020-02-21T13:30:40,0.7192849661259533,5.228622812231933
2020-03-08T13:30:35,0.5198259091602866,3.621897478467911
2020-03-24T13:30:26,0.30639562972339485,2.4429149662978538
2020-04-09T13:30:18,0.30023460452112044,1.2931568343993733
2020-04-25T13:30:11,0.2889424074300052,1.679391631350528
2020-05-11T13:30:04,0.5092843028030996,2.5139602196875512
2020-05-27T13:30:08,0.8124464860303684,1.8026358645336666
2020-06-12T13:30:17,,
2020-06-28T13:30:26,0.8813694376957513,2.103892507132002
2020-07-14T13:30:32,0.904212703616271,1.8699739907727182
2020-07-30T13:30:37,0.633748095075593,1.9617603187834185
2020-08-15T13:30:41,0.35226828147832456,0.9166899825162739
2020-10-18T13:31:00,0.7664978165288281,6.188120094901238
2020-11-19T13:30:59,0.8782562785946781,6.671855057011862
2020-12-05T13:31:01,0.842439628987216,5.6940673283081695
2020-12-21T13:31:00,0.8672627933410523,7.732527313415926
