date,ndvi,et
2020-01-12T13:10:59,0.8961680375706257,7.549843406171114
2020-01-28T13:10:11,0.8937670349462002,6.580313096043334
2020-02-13T13:09:22,0.817119742329224,5.84090839789208
2020-02-29T13:08:32,0.5144299119011373,3.70115860917697
2020-04-01T13:06:46,0.26682132026037614,1.6326037584994417
2020-04-17T13:05:50,0.22286974569914553,0.927979437151946
2020-05-03T13:04:53,0.308708307397584,1.4700185628373996
2020-05-19T13:03:54,0.6268225345713335,2.95297096359304
2020-06-04T13:02:57,,
2020-06-20T13:02:01,0.8427212113282437,3.0634046768233816
2020-07-06T13:01:04,,
2020-07-22T13:00:05,0.7164270302179082,2.8343790982933386
2020-08-07T12:59:05,0.29633735020979374,1.2197510512867424
2020-08-23T12:58:04,0.22266727289492247,0.929410324766361
2020-09-24T12:55:57,0.246540794003097,1.5886092422968046
2020-10-10T12:54:57,0.5021287652466198,3.294873948403914
2020-11-11T12:52:49,,
2020-11-27T12:51:41,,
2020-12-29T12:49:20,0.8292821108836222,5.711675436745022
2020-01-04T13:30:52,0.8007254600524902,5.703413724899292
2020-02-05T13:30:44,,
2020-02-21T13:30:40,0.7201551566770349,5.289867061132137
2020-03-08T13:30:35,0.39746660253942706,2.859345995552702
2020-03-24T13:30:26,0.29410831765008955,2.3553688426870947
2020-04-09T13:30:18,0.2917533520725211,1.2614029633203612
2020-04-25T13:30:11,0.27539904371645296,1.601524058749767
2020-05-11T13:30:04,0.4641036940498396,2.3125140454927986
2020-05-27T13:30:08,0.7635479423325585,1.7219638903573642
2020-06-12T13:30:17,,
2020-06-28T13:30:26,0.8902462600005798,2.124133146567708
2020-07-14T13:30:32,0.9008298698387347,1.871680561072954
2020-07-30T13:30:37,0.5735380920650122,1.8066636815993748
2020-08-15T13:30:41,0.36997605836723085,0.9662681183760771
2020-10-18T13:31:00,0.5807332599076328,4.882570539853349
2020-11-19T13:30:59,0.8411935755951627,6.458214904538122
2020-12-05T13:31:01,0.7837270131615593,5.377823481573276
2020-12-21T13:31:00,0.8422785669593931,7.567840364781171
