date,ndvi,lst,et
2020-04-12T12:44:24,0.7329134293531885,301.38717373934657,3.5631133469900735
2020-04-28T12:43:27,,,
2020-05-14T12:42:29,0.3100376971343295,305.24721112380973,0.14283073710997443
2020-05-30T12:41:30,0.7147478329067859,290.4069792109473,0.846624320855238
2020-06-15T12:40:35,0.8533091426308986,292.05718814613795,1.8662622641871336
2020-07-01T12:39:38,0.8650184448123952,294.3144596412521,1.7142068119846416
2020-07-17T12:38:40,0.8531657103249317,294.08865421846815,2.4039756077756875
2020-08-02T12:37:40,0.7980512016767844,293.1915650503821,2.875120843325514
2020-08-18T12:36:39,0.571474315046801,297.39820778806404,3.603463037784387
2020-09-03T12:35:37,0.25465296621501043,301.6768059141804,2.22275151510791
2020-09-19T12:34:33,0.22480121411097795,308.0450422244431,1.831787495430466
2020-10-05T12:33:32,0.1951841301268269,306.9117382176239,4.029962284705316
2020-11-06T12:31:25,0.5158961994862954,312.9251505143579,2.8759991798604774
2021-01-09T12:26:50,0.6857669381015025,301.58112053397855,2.2418680170467264
2021-01-25T12:25:41,0.5160965389236507,275.9611276572533,6.245075717628726
2021-03-14T12:22:02,0.23051577653232674,303.9797777029319,1.2683741490155784
2021-03-30T12:20:45,,,
2021-04-15T12:19:25,0.33771918826360725,299.7382904122525,2.1556353805494144
2021-05-17T12:16:44,0.7294106020216891,289.68339935885376,1.9672366193690018
2021-06-02T12:15:21,0.8165996737146564,290.53112893143145,2.26489103859518
2021-06-18T12:14:04,0.8533450434397097,291.2892878071487,1.3392121276123659
2021-07-04T12:12:44,0.7763845785129398,290.66538750802835,1.5276479324243513
2021-07-20T12:11:22,0.3355108622644175,295.84634688442003,0.5478998873575847
2021-08-05T12:09:57,,,
2021-08-21T12:08:33,0.1977697540683025,304.65095801587137,0.8062491315451231
2021-09-06T12:07:10,0.18428294484256458,310.4782520621415,0.36479085969559466
2021-09-22T12:05:44,0.17375977915248236,316.592532013486,0.12327410789141854
2021-11-25T11:59:49,,,
2021-12-27T11:56:46,0.8406670607034379,300.96783383432376,2.5196725615495255
2020-01-14T12:55:20,,,
2020-01-30T12:54:32,,,
2020-02-15T12:53:43,,,
2020-03-18T12:52:00,,,
2020-04-03T12:51:06,,,
2020-05-05T12:49:13,,,
2020-05-21T12:48:14,,,
2020-06-06T12:47:17,,,
2020-06-22T12:46:21,,,
2020-07-08T12:45:23,,,
2020-07-24T12:44:25,,,
2020-08-09T12:43:24,,,
2020-08-25T12:42:23,,,
2020-09-10T12:41:20,,,
2020-09-26T12:40:17,,,
2020-10-12T12:39:16,,,
2020-11-29T12:35:59,,,
2020-12-15T12:34:47,,,
2020-12-31T12:33:38,,,
2021-02-01T12:31:21,,,
2021-03-05T12:28:56,,,
2021-03-21T12:27:40,,,
2021-04-22T12:25:00,,,
2021-06-09T12:20:58,,,
2021-06-25T12:19:40,,,
2021-07-11T12:18:19,,,
2021-07-27T12:16:56,,,
2021-08-12T12:15:31,,,
2021-08-28T12:14:07,,,
2021-09-13T12:12:43,,,
2021-09-29T12:11:17,,,
2021-10-15T12:09:53,,,
2021-12-02T12:05:21,,,
2020-01-15T13:09:07,0.5741133075822468,312.5498774435494,2.0072879548910905
2020-01-31T13:09:01,,,
2020-02-16T13:08:58,,,
2020-03-19T13:08:45,0.8113483927945615,307.3089685149593,3.9427845030786752
2020-04-04T13:08:36,0.8502025054603998,304.2166694700363,3.4832056844164625
2020-05-22T13:08:23,0.6076230474866768,298.8966364100149,2.315529752478513
2020-06-07T13:08:30,0.8400096998550135,298.25397520134845,1.812006504130208
2020-06-23T13:08:39,0.8568153801698986,288.8709463299166,3.365001965829396
2020-07-09T13:08:46,0.899165957021681,296.3687018423051,2.5028369101981527
2020-07-25T13:08:51,0.8805835426561555,296.18484847588473,2.724911974461425
2020-08-10T13:08:55,0.7822364659871581,297.5897402390102,3.181499210894434
2020-08-26T13:09:03,0.4286489801616167,300.5891972186994,3.402544474090866
2020-09-11T13:09:10,0.30448265269255287,315.4753758886986,0.15244512251573325
2020-09-27T13:09:14,0.2750760716458865,312.96679102782093,3.4256944426631932
2020-10-13T13:09:16,0.2578578141901623,307.11805100831526,3.011355839584866
2020-11-30T13:09:17,0.870364989729065,303.0590864570831,5.359124714367187
2021-01-01T13:09:13,0.6822810997106723,310.65962378412706,1.3621692253962965
2021-02-02T13:09:04,0.548296178958075,305.824398159089,0.43639693454004724
2021-03-06T13:08:52,0.29026388765213657,314.9813544112364,1.077283723016512
2021-03-22T13:08:45,0.23695627729615948,311.94042947579055,0.018221491186499343
2021-04-23T13:08:33,0.4112092303587371,304.44044432943826,3.0052948390351597
2021-05-09T13:08:27,0.7428085282520772,297.8036575265623,2.500192343359725
2021-05-25T13:08:37,0.8697947816368344,299.94716966561697,2.0255693808046047
2021-06-10T13:08:45,0.882448345441914,297.30910185008264,2.1102045362816066
2021-06-26T13:08:49,0.8618822142001167,295.2478329662462,2.0740191988674317
2021-07-12T13:08:51,0.5462555025179153,296.02760170852025,2.490999818065451
2021-07-28T13:08:58,0.28992654670233464,307.425735043982,0.38967305478333575
2021-08-13T13:09:04,0.2571388629650589,307.04209375779044,0.017625528792816175
2021-08-29T13:09:09,0.24110919003119255,311.2100135490256,0.16948047694760454
2021-09-14T13:09:13,,,
2021-09-30T13:09:17,0.22263472479343857,320.6584576368617,2.233889586388272
2020-03-10T13:15:01,,,
2020-04-11T13:14:44,,,
2020-04-27T13:14:37,,,
2020-05-13T13:14:32,,,
2020-05-29T13:14:35,,,
2020-06-14T13:14:45,,,
