date,ndvi,lst,et
2020-01-12T13:10:59,0.9129532412739323,301.4402330054721,5.276646934379503
2020-01-28T13:10:11,0.9297607781990612,300.569130258318,4.651832086847693
2020-02-13T13:09:22,0.8476398933046423,299.32800552379535,4.31609425217203
2020-02-29T13:08:32,0.6835068680372403,302.39810368346707,4.243184965689598
2020-04-01T13:06:46,0.229155218087798,312.216501399524,2.2208877502587283
2020-04-17T13:05:50,0.22037325315971198,300.91114745258835,2.3590143982570058
2020-05-03T13:04:53,0.2208664698428675,300.4147051437431,1.9000842302761474
2020-05-19T13:03:54,0.3280086004157207,297.17572065414487,1.6527408140997957
2020-06-20T13:02:01,0.7849473931074544,297.4127172044897,0.398637860102528
2020-07-22T13:00:05,0.7383299967778242,280.8608865351125,2.3166622209655503
2020-08-07T12:59:05,0.33294701559471734,297.1184192813503,1.2115059567566993
2020-08-23T12:58:04,0.2047094141878713,295.06576560880893,1.401841789533247
2020-09-24T12:55:57,0.3373634931732642,309.87517544633556,2.2599482819587493
2020-10-10T12:54:57,0.6946682469910964,298.291010467352,3.577947513466977
2020-11-11T12:52:49,0.5512083379661336,302.16920435288375,4.058916631866904
2020-11-27T12:51:41,,,
2020-12-29T12:49:20,0.823838334833909,301.50631345307045,3.981552424818501
2020-01-04T13:30:52,,,
2020-02-05T13:30:44,,,
2020-02-21T13:30:40,0.8743510317912174,296.5042280540379,3.4734921998534714
2020-03-08T13:30:35,0.4194859349641984,314.2180677360982,2.524820527421189
2020-03-24T13:30:26,0.24446726095179103,315.8116801467511,0.9732507959073239
2020-04-09T13:30:18,0.26091621667303855,303.68652970619195,1.8970044435435758
2020-04-25T13:30:11,0.26749684367576615,300.1639292605661,1.3263608010179995
2020-05-11T13:30:04,0.2903111509784662,303.75003967503716,0.8234947095974489
2020-05-27T13:30:08,0.4666289161701509,294.7977943873619,1.6034823158395444
2020-06-12T13:30:17,,,
2020-06-28T13:30:26,0.8389312613750026,285.5876133766899,1.5522771093867773
2020-07-14T13:30:32,0.8872293500356302,283.33870796369337,1.1179024951985403
2020-07-30T13:30:37,0.6903916466298856,286.8501671113876,1.7978589135199285
2020-10-18T13:31:00,0.8011198114492272,304.43412167460446,4.057288579372107
2020-11-19T13:30:59,0.8687607464749464,300.6926822636917,5.002131375436982
2020-12-21T13:31:00,0.8561133794473856,299.44864651476337,5.4189359733444995
